k,MMR min,MMR avg,MMR max,MMR σ
0,20,20,20,0
5,20,20,20,0
10,20,20,20,0
15,20,20,20,0
20,20,20,20,0
25,19.93,19.96,20,0.02
30,18.82,18.85,18.89,0.02
35,17.9,18.62,18.84,0.27
40,17.49,18.17,18.8,0.55
45,16.8,17.8,18.8,0.75
50,16.38,17.3,18.8,0.68
55,15.71,16.98,18.38,0.78
60,15.33,16.45,17.63,0.68
65,14.67,16.04,17.41,0.77
70,14.26,15.6,17,0.75
75,14,15.25,16.71,0.7
80,13.16,14.75,16.44,0.88
85,12.45,14.37,16,0.95
90,12.26,13.86,15.23,0.84
95,12.16,13.42,15.21,0.9
100,11.38,12.88,14.21,0.85
105,10.75,12.28,14.18,0.99
110,10.67,11.98,13.99,1
115,9.84,11.28,13,0.99
120,9.11,10.86,12.99,1.06
125,8.42,10.5,12.97,1.21
130,7.86,10.14,12.96,1.43
135,7.33,9.77,11.96,1.34
140,6.98,9.21,11.64,1.48
145,6.83,8.94,11.64,1.52
150,6.46,8.74,11.61,1.63
155,6,8.46,11.45,1.74
160,5.39,8.13,11.32,1.83
165,5.21,7.83,11,1.79
170,4.24,7.45,10.65,1.94
175,3.99,7.27,10.64,2
180,3.77,7.01,10.34,2.11
185,3.19,6.83,10.32,2.23
190,3.19,6.72,10.06,2.22
195,2.86,6.47,9.64,2.27
200,2.64,6.25,9.64,2.26
205,2.45,6.09,9.48,2.32
210,2.28,5.86,9.34,2.34
215,2,5.7,9.34,2.4
220,1.97,5.54,9.06,2.32
225,1.91,5.4,8.73,2.3
230,1.57,5.17,8.36,2.28
235,1.19,4.93,8.19,2.3
240,0.96,4.82,8.19,2.34
245,0.65,4.67,8.05,2.36
250,0.41,4.48,8,2.36
