k,MMR min,MMR avg,MMR max,MMR σ
0,20,20,20,0
5,20,20,20,0
10,20,20,20,0
15,20,20,20,0
20,19.75,19.88,20,0.06
25,18.58,18.78,18.89,0.11
30,17.95,18.5,18.86,0.37
35,17.56,18.21,18.83,0.48
40,17,17.64,18.65,0.52
45,16.82,17.32,17.65,0.31
50,16.31,16.83,17.61,0.43
55,15.93,16.3,17.61,0.48
60,15,15.69,16.78,0.51
65,14.7,15.29,16.64,0.53
70,14.32,14.99,16.26,0.5
75,13.97,14.6,15.31,0.43
80,13.73,14.22,15,0.47
85,12.96,13.61,14,0.33
90,12.49,13.21,14,0.45
95,12,12.89,14,0.55
100,11.24,12.41,13,0.57
105,11,12.11,13,0.65
110,10.98,11.88,13,0.69
115,10.44,11.62,13,0.75
120,10.37,11.21,12,0.57
125,10.37,11,11.81,0.43
130,10.16,10.65,11.65,0.47
135,9.67,10.37,11.61,0.61
140,9.17,10.07,11.32,0.59
145,8.62,9.92,11.32,0.71
150,8.56,9.74,11.32,0.77
155,8.2,9.39,10.97,0.85
160,8,9.3,10.65,0.81
165,7.57,9.07,10.41,0.86
170,7.54,8.84,10.2,0.83
175,7.38,8.65,9.94,0.87
180,7,8.43,9.73,0.88
185,7,8.3,9.61,0.86
190,6.94,8.24,9.51,0.85
195,6.77,8.11,9.51,0.89
200,6.38,7.88,9.15,0.86
205,6.19,7.65,9,0.91
210,5.74,7.48,8.97,0.95
215,5.49,7.31,8.43,0.89
220,5.16,7.07,8.16,0.95
225,5,6.82,8,0.93
230,5,6.61,8,0.99
235,4.96,6.34,7.77,1.04
240,4.72,6.13,7.59,0.97
245,3.96,5.92,7.47,1.11
250,3.24,5.67,7.35,1.26
