k,MMR min,MMR avg,MMR max,MMR σ
0,20,20,20,0
5,20,20,20,0
10,18.89,18.96,19.5,0.18
15,18.5,18.79,18.87,0.11
20,18,18.45,18.86,0.35
25,17.57,18.05,18.86,0.51
30,17.4,17.8,18.67,0.45
35,16.5,17.38,18.67,0.54
40,16.43,16.94,17.75,0.53
45,16.29,16.69,17.67,0.47
50,15.43,16.18,17.2,0.52
55,14.89,15.8,17,0.66
60,14,15.39,16.6,0.79
65,14,14.95,16.17,0.78
70,13,14.45,15.86,0.86
75,13,14.24,15.67,0.83
80,12.75,13.81,15.43,0.95
85,11.5,13.34,15.17,1.08
90,11,13.03,15.17,1.09
95,11,12.62,15.14,1.13
100,10.71,12.32,14.71,1.06
105,10,11.95,14.67,1.2
110,10,11.63,14.67,1.25
115,10,11.41,14.67,1.29
120,9.29,11.05,14.6,1.39
125,9,10.82,14.5,1.44
130,9,10.58,14.17,1.43
135,9,10.36,13.87,1.41
140,8.5,10.09,13.57,1.37
145,8,9.83,13,1.35
150,8,9.54,12.5,1.24
155,7.25,9.23,12.5,1.4
160,7,9,12,1.34
165,7,8.8,11.57,1.31
170,6,8.56,11.5,1.44
175,6,8.39,11,1.35
180,6,8.22,11,1.32
185,6,8,10.67,1.33
190,6,7.87,10.33,1.29
195,5.6,7.64,9.67,1.24
200,5,7.42,9.5,1.31
205,4.6,7.3,9.33,1.38
210,4.2,7.07,9.12,1.36
215,4.2,6.84,9,1.34
220,4,6.56,8.89,1.36
225,3.8,6.35,8.87,1.35
230,3.67,6.16,8.62,1.35
235,3.4,5.99,8.62,1.38
240,3.4,5.99,8.61,1.38
245,3.4,5.99,8.61,1.38
250,3.4,5.99,8.61,1.38
