k,MMR min,MMR avg,MMR max,MMR σ
0,20,20,20,0
5,20,20,20,0
10,18.89,19.09,19.89,0.32
15,18.71,18.82,18.87,0.06
20,18.4,18.71,18.83,0.15
25,17.67,18.3,18.8,0.39
30,17,17.76,18.67,0.47
35,16.5,17.34,18,0.49
40,16,17.15,18,0.66
45,15.25,16.62,17.75,0.74
50,15,16.14,17.5,0.7
55,14.87,15.88,17.33,0.71
60,14,15.46,17.33,0.87
65,13.75,15.01,16.75,0.79
70,13.5,14.7,16.33,0.82
75,13.2,14.29,15.83,0.82
80,12.5,13.76,15.4,0.82
85,12.14,13.39,14.67,0.89
90,11.5,12.79,14.25,0.84
95,11.25,12.43,14.25,1.01
100,11,12.23,13.83,1.02
105,10.25,11.94,13.83,1.26
110,10,11.66,13.83,1.24
115,9,11.31,13.5,1.26
120,8.75,10.95,13.33,1.25
125,8,10.61,12.5,1.24
130,7.75,10.21,12.5,1.22
135,7.5,9.89,12.33,1.22
140,6.5,9.62,11.67,1.37
145,6.25,9.37,11.67,1.4
150,5,9.11,11.6,1.69
155,4.8,8.91,11.33,1.71
160,4.5,8.66,11.2,1.8
165,4,8.27,10.75,1.86
170,3.8,8.01,10.33,1.78
175,3.62,7.86,10.2,1.77
180,3.5,7.67,10.17,1.82
185,3.37,7.45,10.17,1.82
190,3.29,7.25,9.86,1.85
195,3.29,6.98,9.86,1.91
200,3.14,6.68,9.86,1.93
205,3,6.38,9.71,1.94
210,2.87,6.12,9.33,1.94
215,2.75,5.9,8.29,1.78
220,2.57,5.61,7.83,1.68
225,2.5,5.36,7.5,1.59
230,2.37,5.07,7.33,1.63
235,2.25,4.78,7.17,1.65
240,2.14,4.72,7.17,1.67
245,2.14,4.71,7.17,1.68
250,2.14,4.7,7.17,1.68
