k,MMR min,MMR avg,MMR max,MMR σ
0,20,20,20,0
5,20,20,20,0
10,20,20,20,0
15,20,20,20,0
20,20,20,20,0
25,20,20,20,0
30,18.85,18.88,18.89,0.01
35,18.43,18.67,18.81,0.14
40,17.72,18.16,18.78,0.39
45,17.44,17.68,18.64,0.33
50,16.63,17.3,18.36,0.45
55,16,16.64,17.65,0.49
60,15.83,16.27,17.61,0.52
65,15,15.84,16.5,0.53
70,14.5,15.27,16.3,0.53
75,13.63,14.7,15,0.44
80,13.52,14.38,14.99,0.53
85,13.27,13.91,14.92,0.5
90,12.47,13.36,14.14,0.52
95,12.37,13.07,13.96,0.61
100,11.9,12.78,13.89,0.68
105,11.15,12.36,13.5,0.64
110,11,12.01,12.96,0.63
115,10.95,11.8,12.96,0.69
120,10.33,11.54,12.95,0.83
125,9.96,11.07,12.84,0.96
130,9.79,10.74,11.96,0.72
135,9.59,10.56,11.89,0.77
140,8.73,10.2,11.89,0.97
145,8.3,9.9,11.79,1.1
150,7.54,9.67,11.77,1.1
155,7.15,9.38,11.75,1.32
160,6.45,9.16,11.75,1.43
165,6,8.93,11.75,1.52
170,5.99,8.77,11.75,1.49
175,5.99,8.57,11.71,1.53
180,5.64,8.36,11.71,1.55
185,5.32,8.12,10.96,1.43
190,5.32,7.93,10.71,1.37
195,4.99,7.59,10.2,1.34
200,4.99,7.33,10.2,1.38
205,4.83,7.09,9.84,1.35
210,4.8,6.83,8.8,1.24
215,4.61,6.6,8.57,1.23
220,3.96,6.26,7.99,1.25
225,3.65,6,7.47,1.26
230,3.65,5.83,7.27,1.17
235,2.7,5.56,7.18,1.3
240,2.65,5.4,7.16,1.29
245,2.65,5.26,6.81,1.26
250,2.48,5,6.62,1.24
