k,MMR min,MMR avg,MMR max,MMR σ
0,20,20,20,0
5,20,20,20,0
10,20,20,20,0
15,18.89,18.98,19.5,0.18
20,18.25,18.77,18.87,0.18
25,17.7,18.48,18.87,0.4
30,17,17.94,18.83,0.51
35,16.93,17.65,18.8,0.44
40,15.95,17.18,18,0.54
45,15.86,16.83,17.75,0.54
50,14.97,16.42,17.25,0.69
55,14.56,15.88,17,0.79
60,14.16,15.47,16,0.63
65,13.25,15.17,16,0.82
70,12.75,14.77,16,0.88
75,12,14.52,16,1.08
80,11.7,14.04,15.5,1.02
85,10.75,13.58,15,1.22
90,10.5,13.23,15,1.3
95,9.62,12.66,14.7,1.4
100,9.42,12.32,14.46,1.41
105,9,11.99,14,1.44
110,8.28,11.62,14,1.62
115,8,11.2,13.49,1.68
120,8,10.86,13.24,1.69
125,8,10.55,13,1.71
130,7.5,10.32,13,1.83
135,7.16,10.05,12.68,1.85
140,7.16,9.8,12.46,1.87
145,7,9.53,12.46,1.85
150,7,9.16,12.22,1.64
155,6.65,8.79,11.97,1.73
160,6.5,8.61,11.95,1.78
165,6,8.36,11.95,1.78
170,5.5,8.05,11.49,1.69
175,5.5,7.84,11.46,1.65
180,5,7.65,11.24,1.68
185,5,7.5,11.24,1.74
190,4.5,7.23,10.48,1.65
195,4.5,7.05,10,1.6
200,4.5,6.86,9.67,1.43
205,4.5,6.67,9,1.33
210,4,6.44,8.33,1.28
215,3.82,6.17,7.99,1.21
220,3.5,5.96,7.29,1.11
225,3.5,5.79,7.14,1.03
230,3.5,5.6,7,1.03
235,3.5,5.31,6.72,1.01
240,3.5,5.18,6.62,1
245,3,4.91,6.62,1.07
250,2.5,4.74,6.5,1.14
