k,MMR min,MMR avg,MMR max,MMR σ
0,20,20,20,0
5,20,20,20,0
10,18.87,18.93,19,0.06
15,18.5,18.79,18.89,0.11
20,17.75,18.34,18.86,0.38
25,17.5,17.88,18.67,0.41
30,17.2,17.58,18.4,0.36
35,16.25,17.2,18.4,0.57
40,15.71,16.57,17.8,0.61
45,14.89,16.36,17.6,0.73
50,14.5,15.86,17.6,0.84
55,14,15.59,17.2,0.87
60,13.78,15.17,17,0.94
65,12.75,14.88,17,1.13
70,12.5,14.36,16.4,1.16
75,11.87,14.02,16,1.16
80,11.43,13.63,15.4,1.15
85,11.43,13.38,15,1.16
90,11.29,13.11,15,1.12
95,10.5,12.76,15,1.28
100,10.2,12.46,14.6,1.32
105,10,12.06,14.6,1.45
110,10,11.81,14.2,1.34
115,9.67,11.59,14,1.39
120,9,11.29,14,1.51
125,8.5,10.99,13.8,1.54
130,8.17,10.66,13.6,1.48
135,8.17,10.38,13.4,1.54
140,8,10.07,12.5,1.44
145,7.5,9.8,12,1.39
150,7,9.35,11.67,1.45
155,7,9.19,11.67,1.43
160,7,8.98,11,1.32
165,6.33,8.67,10.57,1.36
170,6.33,8.28,9.86,1.17
175,6,8.05,9.5,1.2
180,6,7.78,9.33,1.11
185,6,7.6,8.75,1.01
190,6,7.42,8.6,0.96
195,5,7.11,8.5,1.11
200,5,6.89,8.37,1.11
205,5,6.67,8.25,1.13
210,4,6.43,8.12,1.35
215,4,6.27,8,1.33
220,4,6.08,8,1.33
225,4,5.9,7.89,1.28
230,4,5.79,7.67,1.22
235,4,5.76,7.67,1.24
240,4,5.76,7.67,1.24
245,4,5.76,7.67,1.24
250,4,5.76,7.67,1.24
