k,MMR min,MMR avg,MMR max,MMR σ
0,20,20,20,0
5,20,20,20,0
10,18.87,18.89,19,0.04
15,18.6,18.76,18.87,0.1
20,17.67,18.38,18.87,0.43
25,17.33,18.03,18.86,0.58
30,16.87,17.63,18.67,0.53
35,16,17.11,18,0.6
40,16,16.79,17.67,0.57
45,15.2,16.43,17.33,0.61
50,14.89,16.01,17,0.61
55,14.67,15.68,16.6,0.64
60,13.78,15.21,16.5,0.75
65,13.67,14.87,16.33,0.81
70,13.33,14.67,16,0.75
75,12.62,14.21,15.71,0.93
80,12.5,13.89,15.33,0.94
85,12,13.45,14.83,0.93
90,11.5,13.23,14.67,1.01
95,11,12.84,14,1
100,10.62,12.57,14,1.04
105,9.56,12.16,13.5,1.11
110,9,11.74,13,1.21
115,8.37,11.48,13,1.3
120,7.8,11.22,13,1.46
125,7.33,10.82,12.43,1.47
130,7.25,10.51,12.33,1.44
135,6.75,10.31,12.33,1.53
140,6,9.88,12,1.65
145,5.67,9.59,12,1.7
150,5.62,9.39,11.75,1.66
155,5,9.22,11.67,1.81
160,4.57,8.82,11.33,1.79
165,4.57,8.58,11.17,1.73
170,4.43,8.47,11,1.71
175,4.14,8.28,11,1.8
180,4,8.08,11,1.86
185,3.87,7.96,10.75,1.87
190,3.75,7.72,10.5,1.87
195,3.75,7.58,10.25,1.84
200,3.57,7.31,10.17,1.87
205,3.29,7.12,10,1.89
210,3.14,6.91,9.86,1.89
215,3,6.65,9.71,1.97
220,3,6.51,9.57,1.99
225,2.87,6.24,9.33,1.97
230,2.86,6.17,9.33,1.96
235,2.86,6.17,9.33,1.96
240,2.86,6.17,9.33,1.96
245,2.86,6.17,9.33,1.96
250,2.86,6.17,9.33,1.96
