k,MMR min,MMR avg,MMR max,MMR σ
0,20,20,20,0
5,20,20,20,0
10,18.87,19.02,19.5,0.24
15,18.67,18.79,18.87,0.07
20,17.71,18.5,18.87,0.42
25,17.57,18.06,18.86,0.53
30,17.33,17.78,18.86,0.52
35,17,17.49,18.67,0.52
40,16.33,17,17.86,0.53
45,16,16.58,17.6,0.55
50,15,16.19,17,0.62
55,15,15.95,16.5,0.54
60,14.33,15.54,16.37,0.61
65,14.33,15.07,16,0.47
70,13.67,14.78,15.6,0.64
75,12.89,14.44,15.43,0.72
80,12.2,14.09,15.29,0.78
85,12,13.85,15,0.81
90,11.29,13.44,14.62,0.9
95,11,12.95,14,0.87
100,11,12.58,14,0.94
105,10.67,12.32,13.8,1
110,10,11.9,13.5,0.98
115,9.86,11.66,13.33,1.11
120,9.5,11.31,13,1.18
125,9,11.08,13,1.27
130,8.8,10.82,12.75,1.35
135,8.5,10.63,12.4,1.38
140,8,10.44,12.4,1.52
145,7.67,10.12,12,1.42
150,7.5,9.9,11.83,1.43
155,7.5,9.74,11.8,1.44
160,7.4,9.42,11.57,1.4
165,7.25,9.25,11.33,1.35
170,7.25,8.89,11,1.16
175,7,8.62,10.75,1.12
180,6.87,8.36,10.17,1.1
185,6.67,8.02,9.56,0.95
190,6.4,7.81,9.17,0.98
195,6.12,7.53,8.71,0.89
200,5.8,7.25,8.62,0.98
205,5.5,7,8.17,0.93
210,5.37,6.74,8,0.89
215,5.12,6.58,7.71,0.86
220,4.87,6.24,7.43,0.83
225,4.62,6.06,7.14,0.83
230,4.62,5.87,7,0.76
235,4.5,5.76,6.87,0.75
240,4.35,5.65,6.86,0.8
245,4.29,5.63,6.86,0.8
250,4.29,5.63,6.86,0.8
