k,MMR min,MMR avg,MMR max,MMR σ
0,20,20,20,0
5,20,20,20,0
10,18.87,18.97,19.5,0.18
15,18.5,18.78,18.89,0.11
20,18,18.4,18.86,0.35
25,17.4,18.05,18.83,0.55
30,16.87,17.68,18.83,0.62
35,16,16.9,18.67,0.78
40,16,16.61,17.75,0.5
45,15.33,16.31,17.67,0.57
50,15,15.7,16.67,0.57
55,14.67,15.39,16.67,0.66
60,13.87,14.96,16.33,0.87
65,13.67,14.46,15.4,0.6
70,12.67,14.17,15.33,0.82
75,12.5,13.95,15.33,0.87
80,12.5,13.82,15.33,0.86
85,12,13.3,14,0.73
90,11.33,12.92,14,0.86
95,11,12.53,13.83,0.82
100,11,12.42,13.83,0.89
105,10,12.03,13.67,1.08
110,10,11.73,13.67,1.07
115,10,11.44,13.5,1.09
120,10,11.3,13.33,1.11
125,9,10.76,13.33,1.31
130,9,10.61,13.29,1.36
135,9,10.5,13.14,1.32
140,8.67,10.37,12.71,1.28
145,8,10.06,12.57,1.38
150,8,9.88,12,1.25
155,7.5,9.66,11.71,1.24
160,7,9.47,11.71,1.34
165,6.5,9.19,11.43,1.37
170,6,8.88,10.71,1.39
175,6,8.61,10.5,1.45
180,5.5,8.28,10.2,1.51
185,5.29,7.99,10.2,1.55
190,5,7.73,10,1.53
195,4.57,7.46,9.83,1.62
200,4.57,7.01,9.83,1.52
205,4.43,6.77,9.67,1.59
210,4.43,6.69,9.5,1.57
215,4.29,6.45,9,1.6
220,4,6.26,9,1.67
225,4,6.16,8.83,1.63
230,4,5.95,8.5,1.59
235,3.75,5.81,8.5,1.64
240,3.5,5.59,8.25,1.58
245,3.25,5.29,8.12,1.48
250,3.23,5.29,8.11,1.48
