k,MMR min,MMR avg,MMR max,MMR σ
0,20,20,20,0
5,20,20,20,0
10,18.87,18.95,19,0.06
15,18,18.61,18.89,0.33
20,17.71,18.33,18.86,0.47
25,17.4,17.92,18.86,0.46
30,16.75,17.66,18.83,0.61
35,16.33,17.35,18.6,0.71
40,16,16.75,17.8,0.59
45,16,16.5,17.8,0.67
50,15.25,16.05,17.75,0.82
55,14.87,15.47,17,0.69
60,14,15.02,16.67,0.85
65,13.71,14.69,16,0.7
70,13,14.33,16,0.83
75,12.6,13.95,16,0.87
80,11.6,13.55,15.5,1.02
85,11.25,13.35,15,1.03
90,10.67,13.02,14.56,1.16
95,10.5,12.78,14,1.12
100,10,12.51,13.87,1.16
105,9.67,12.05,13.75,1.18
110,9.33,11.63,13.62,1.19
115,9,11.4,13.5,1.23
120,8.17,10.98,12.6,1.28
125,8,10.55,12.2,1.14
130,7.5,10.27,12.2,1.22
135,6.75,9.88,12,1.33
140,6.5,9.59,11.67,1.32
145,6.37,9.32,11.4,1.3
150,6,9.09,11.4,1.42
155,5.57,8.73,11,1.49
160,5,8.44,10.6,1.57
165,4.71,8.14,10.6,1.56
170,4.57,7.99,10.2,1.53
175,4.14,7.82,10,1.56
180,4,7.59,9.86,1.59
185,3.87,7.47,9.8,1.59
190,3.71,7.18,9.4,1.59
195,3.37,6.88,8.87,1.54
200,3,6.73,8.62,1.59
205,2.75,6.49,8,1.51
210,2.75,6.36,8,1.45
215,2.62,6.12,7.75,1.46
220,2.37,5.92,7.5,1.42
225,2.33,5.69,7.37,1.34
230,2.12,5.48,7.25,1.38
235,2.11,5.48,7.24,1.38
240,2.11,5.48,7.24,1.38
245,2.11,5.48,7.24,1.38
250,2.11,5.48,7.24,1.38
