k,MMR min,MMR avg,MMR max,MMR σ
0,20,20,20,0
5,20,20,20,0
10,18.87,19.15,20,0.36
15,18.57,18.8,18.87,0.09
20,18,18.43,18.83,0.31
25,17.5,17.84,18.6,0.41
30,16.78,17.35,18.25,0.42
35,16,16.81,17.75,0.63
40,15.75,16.54,17.5,0.6
45,14.78,16.16,17.25,0.7
50,14.62,15.81,16.8,0.73
55,14.62,15.52,16.67,0.69
60,14,15.05,16.2,0.67
65,13.5,14.63,15.6,0.65
70,12.67,14.15,15.5,0.85
75,12,13.72,14.8,0.88
80,11.33,13.39,14.8,1.07
85,11,13.14,14.5,1.1
90,10.17,12.86,14.5,1.31
95,9.62,12.48,14.25,1.39
100,9.37,12.09,13.5,1.3
105,9.25,11.76,13.2,1.36
110,9.25,11.45,13,1.35
115,8.87,11.19,12.8,1.45
120,8.86,10.98,12.8,1.37
125,8.71,10.75,12.4,1.29
130,8.29,10.46,12,1.35
135,7.43,10.1,11.86,1.34
140,6.87,9.79,11.75,1.49
145,6.87,9.54,11.33,1.45
150,6.5,9.22,11.17,1.59
155,6,9.05,11,1.74
160,6,8.91,10.67,1.73
165,5.86,8.59,10.67,1.76
170,5.71,8.47,10.67,1.78
175,5.43,8.35,10.67,1.8
180,5.2,8.12,10.33,1.8
185,5.14,7.84,10,1.73
190,4.83,7.66,9.67,1.71
195,4.71,7.42,9.5,1.69
200,4.71,7.19,9.43,1.76
205,4.57,7,9.29,1.65
210,4.57,6.9,9.25,1.64
215,4.29,6.67,9.12,1.64
220,4,6.58,9,1.67
225,4,6.56,8.93,1.65
230,4,6.56,8.92,1.65
235,4,6.56,8.92,1.65
240,4,6.56,8.92,1.65
245,4,6.56,8.92,1.65
250,4,6.56,8.92,1.65
