k,MMR min,MMR avg,MMR max,MMR σ
0,20,20,20,0
5,20,20,20,0
10,20,20,20,0
15,20,20,20,0
20,20,20,20,0
25,20,20,20,0
30,20,20,20,0
35,20,20,20,0
40,20,20,20,0
45,20,20,20,0
50,20,20,20,0
55,20,20,20,0
60,20,20,20,0
65,20,20,20,0
70,20,20,20,0
75,20,20,20,0
80,19.63,19.74,19.87,0.07
85,18.41,18.78,18.85,0.1
90,18,18.52,18.79,0.2
95,17.53,18.09,18.77,0.37
100,16.99,17.61,18.63,0.44
105,16.01,17.21,18.37,0.5
110,15.57,16.71,17.59,0.52
115,15.09,16.27,17.46,0.55
120,14.23,15.89,16.91,0.58
125,13.79,15.36,16.32,0.63
130,13.02,14.99,15.98,0.66
135,12.61,14.59,15.78,0.71
140,12.21,14.14,15.31,0.73
145,11.35,13.7,14.92,0.85
150,10.96,13.31,14.72,0.9
155,10.4,12.77,14.38,1
160,9.96,12.36,13.95,1.04
165,9.87,12.09,13.74,1.06
170,9.51,11.74,13.49,1.11
175,8.92,11.39,13.26,1.18
180,8.67,11,13.04,1.22
185,8.12,10.68,13.03,1.23
190,7.98,10.36,12.53,1.19
195,7.36,10.04,12.2,1.24
200,7.07,9.74,11.93,1.27
205,6.61,9.49,11.85,1.3
210,6.45,9.19,11.46,1.26
215,5.92,8.9,11.25,1.34
220,5.59,8.68,10.92,1.39
225,5.14,8.44,10.59,1.45
230,4.77,8.25,10.52,1.48
235,4.34,8.05,10.47,1.51
240,4.2,7.83,10.24,1.52
245,4.08,7.56,9.9,1.53
250,3.97,7.34,9.68,1.52
