k,MMR min,MMR avg,MMR max,MMR σ
0,20,20,20,0
5,20,20,20,0
10,20,20,20,0
15,20,20,20,0
20,20,20,20,0
25,20,20,20,0
30,20,20,20,0
35,19.97,19.99,20,0.01
40,18.81,18.86,18.89,0.02
45,18.24,18.62,18.81,0.17
50,17.67,18.16,18.75,0.42
55,17,17.62,18.39,0.32
60,16.76,17.23,17.67,0.32
65,15.89,16.64,17.62,0.61
70,15.65,16.21,17.26,0.47
75,14.67,15.7,16.52,0.61
80,14.23,15.25,16.38,0.66
85,13.62,14.79,15.95,0.6
90,13.36,14.46,15.25,0.6
95,12.88,14.1,15.16,0.76
100,12.39,13.58,14.75,0.66
105,11.75,13.23,14.74,0.88
110,11.3,12.87,13.97,0.87
115,10.93,12.61,13.96,0.92
120,10.87,12.3,13.93,0.95
125,10.32,12,13.92,1.05
130,9.56,11.68,13.92,1.3
135,8.75,11.18,12.91,1.22
140,8.5,11.09,12.91,1.29
145,8.13,10.6,12.63,1.34
150,7.99,10.4,12.52,1.33
155,7.44,10.1,12.5,1.45
160,7,9.76,12.27,1.57
165,6.99,9.55,12.06,1.5
170,6.79,9.3,11.91,1.48
175,6.79,9.09,11.69,1.54
180,6.66,8.87,11.48,1.48
185,6.52,8.61,11.1,1.35
190,6.48,8.47,10.91,1.36
195,6.33,8.28,10.52,1.29
200,6.15,8.02,10.29,1.25
205,5.86,7.76,9.96,1.26
210,5.72,7.61,9.44,1.2
215,5.48,7.3,8.68,1.08
220,5.48,7.19,8.61,1.08
225,5.24,6.96,8.6,1.08
230,4.81,6.72,8.29,1.18
235,4.5,6.49,8.23,1.26
240,4.43,6.37,8.23,1.2
245,4.18,6.14,7.99,1.26
250,3.86,6.04,7.77,1.33
