k,MMR min,MMR avg,MMR max,MMR σ
0,20,20,20,0
5,20,20,20,0
10,20,20,20,0
15,20,20,20,0
20,20,20,20,0
25,20,20,20,0
30,20,20,20,0
35,20,20,20,0
40,19.97,19.99,20,0.01
45,18.83,18.86,18.88,0.02
50,18.37,18.64,18.83,0.15
55,17.71,18.29,18.75,0.32
60,17.34,17.9,18.41,0.37
65,17.05,17.47,18.2,0.31
70,16.64,17.33,18.2,0.4
75,15.85,16.8,17.7,0.67
80,15.62,16.47,17.6,0.7
85,14.65,16.01,17.6,0.98
90,14.43,15.6,17.6,0.95
95,14.26,15.3,17.23,0.97
100,13.43,14.64,16.47,0.99
105,13,14.3,15.99,0.97
110,12.23,13.83,15.82,1.06
115,11.89,13.48,15.37,1.11
120,11.39,13.06,15.36,1.16
125,10.89,12.61,15.35,1.33
130,10.81,12.1,14.21,1.12
135,10.56,11.97,14.13,1.11
140,9.84,11.71,13.77,1.2
145,9.53,11.25,13.77,1.33
150,9.01,10.91,13.77,1.37
155,8.47,10.62,13.58,1.52
160,8.16,10.33,13.33,1.58
165,8,10.11,13.33,1.66
170,7.86,9.91,13.12,1.68
175,7.86,9.75,12.97,1.66
180,7.47,9.38,12.59,1.69
185,7.3,9.17,12.4,1.68
190,7.2,8.98,12.4,1.63
195,6.92,8.64,11.37,1.45
200,6.78,8.32,10.86,1.36
205,6.49,8.1,10.7,1.3
210,6.43,7.88,10.12,1.19
215,6.43,7.65,9.39,1.06
220,6.19,7.37,9,1.02
225,5.86,7.22,9,1.05
230,5.6,7.05,8.93,1.16
235,5.38,6.77,8.79,1.26
240,5.14,6.57,8.74,1.26
245,4.98,6.38,8.74,1.3
250,4.49,6.01,7.94,1.16
