k,MMR min,MMR avg,MMR max,MMR σ
0,20,20,20,0
5,20,20,20,0
10,20,20,20,0
15,18.89,19.15,20,0.39
20,18.49,18.76,18.87,0.13
25,17.7,18.45,18.86,0.39
30,17,17.84,18.86,0.54
35,16.62,17.49,18.86,0.58
40,15.89,17.2,18.86,0.77
45,15.33,16.83,18.82,0.9
50,14.67,16.36,18.31,1.02
55,13.89,16.03,18,1.01
60,13.16,15.74,17.32,1.04
65,12.56,15.19,16.48,1.09
70,12.16,14.8,15.69,1
75,11.37,14.19,15.16,1.13
80,10.5,13.77,15,1.24
85,9.89,13.53,14.64,1.31
90,9.14,13.12,14.43,1.49
95,8.93,12.84,14.43,1.52
100,8.43,12.3,14.14,1.54
105,8,11.9,13.29,1.46
110,7.49,11.59,13,1.49
115,6.56,11.28,12.87,1.67
120,6,10.9,12.75,1.77
125,5.29,10.62,12.17,1.92
130,5,10.3,12.17,1.93
135,4.87,10.06,11.73,1.87
140,3.93,9.79,11.49,2.05
145,3.87,9.65,11.49,2.04
150,3,9.32,11,2.2
155,2.46,9.16,10.95,2.31
160,2.25,8.94,10.95,2.31
165,1.89,8.78,10.95,2.38
170,1.56,8.51,10.64,2.4
175,1.33,8.25,10.4,2.4
180,1.11,7.98,10.16,2.42
185,1.11,7.77,9.98,2.36
190,0.89,7.53,9.98,2.37
195,0.67,7.34,9.6,2.37
200,0.56,7.23,9.6,2.37
205,0.37,7.06,9.47,2.38
210,0.12,6.81,9.4,2.38
215,0,6.65,9.4,2.4
220,0,6.55,9.2,2.37
225,0,6.39,9,2.32
230,0,6.18,9,2.26
235,0,6.03,8.6,2.2
240,0,5.89,8.6,2.16
245,0,5.75,8.37,2.15
250,0,5.51,8,2.1
