k,MMR min,MMR avg,MMR max,MMR σ
0,20,20,20,0
5,20,20,20,0
10,18.87,19.13,20,0.37
15,18.33,18.76,18.89,0.18
20,17.71,18.4,18.86,0.38
25,17,17.93,18.5,0.45
30,16.5,17.42,18.25,0.54
35,15.78,17.02,17.71,0.66
40,15.33,16.71,17.57,0.78
45,14.89,16.38,17.43,0.81
50,14.71,15.98,17.33,0.82
55,14,15.55,17,0.91
60,13.71,15.24,16.75,0.95
65,13.25,14.98,16.75,1.04
70,12.62,14.5,16.5,1.02
75,12.25,14.15,16,1.09
80,12.25,13.75,15.5,0.86
85,11.75,13.36,15.25,0.91
90,11,13.07,14.87,0.98
95,10.75,12.75,14.71,1.01
100,10.5,12.53,14.43,1
105,10,12.26,13.87,1.09
110,10,12.02,13.57,0.99
115,9.67,11.8,13.29,0.96
120,8.75,11.36,12.62,0.98
125,8.5,11.13,12.25,0.97
130,8.33,10.79,12.14,1
135,8,10.59,11.87,0.99
140,7.57,10.36,11.75,1.04
145,7.33,10.12,11.57,1.04
150,6.67,9.83,11.57,1.19
155,6.67,9.65,11.29,1.15
160,6.33,9.35,11.29,1.25
165,6,9.11,11.29,1.35
170,6,8.87,11.29,1.41
175,5,8.54,10.57,1.61
180,4.67,8.29,10.4,1.69
185,4.4,7.96,9.86,1.75
190,4,7.8,9.86,1.82
195,3.75,7.52,9.71,1.77
200,3.5,7.23,9.71,1.81
205,3.4,7.02,9.71,1.81
210,3.12,6.84,9.57,1.83
215,3.12,6.83,9.57,1.82
220,3.12,6.83,9.57,1.82
225,3.12,6.83,9.57,1.82
230,3.12,6.83,9.57,1.82
235,3.12,6.83,9.57,1.82
240,3.12,6.83,9.57,1.82
245,3.12,6.83,9.57,1.82
250,3.12,6.83,9.57,1.82
