k,MMR min,MMR avg,MMR max,MMR σ
0,10,10,10,0
5,8.33,8.76,10,0.27
10,7,7.92,8.67,0.49
15,5.5,6.85,8.5,0.64
20,4.25,5.81,7.29,0.87
25,3,4.96,6.68,0.96
30,2.25,3.88,5.36,0.94
35,1.25,3.17,4.73,0.85
40,0.15,2.47,3.73,0.8
45,0,1.99,3.18,0.85
50,0,1.6,3.18,0.91
55,0,1.33,3.06,0.9
60,0,1.09,3,0.94
65,0,0.93,3,0.97
70,0,0.78,3,0.9
75,0,0.64,2.59,0.78
80,0,0.51,2.47,0.67
85,0,0.41,2.47,0.6
90,0,0.34,2.47,0.57
95,0,0.31,2.47,0.54
100,0,0.29,2.47,0.53
105,0,0.27,1.94,0.45
110,0,0.25,1.41,0.37
115,0,0.23,1.15,0.34
120,0,0.2,1,0.29
125,0,0.19,1,0.29
130,0,0.19,1,0.29
135,0,0.19,1,0.29
140,0,0.19,1,0.29
145,0,0.19,1,0.29
150,0,0.19,1,0.29
