k,MMR min,MMR avg,MMR max,MMR σ
0,10,10,10,0
5,10,10,10,0
10,8.87,9.05,10,0.37
15,8.4,8.79,9.5,0.19
20,7.71,8.54,8.88,0.41
25,7.5,8.4,8.87,0.49
30,6.69,8.07,8.87,0.68
35,6.53,7.93,8.87,0.78
40,6,7.68,8.87,0.97
45,5.43,7.52,8.87,1.11
50,5.19,7.27,8.87,1.23
55,5,7.11,8.87,1.32
60,4.84,7.01,8.87,1.31
65,4.84,6.81,8.87,1.36
70,4,6.62,8.87,1.5
75,4,6.47,8.87,1.54
80,3.63,6.26,8.87,1.67
85,3.43,6.13,8.87,1.76
90,2.3,5.97,8.87,1.88
95,1.86,5.87,8.87,1.97
100,1.72,5.72,8.87,2.06
105,1.72,5.61,8.87,2.15
110,1.72,5.5,8.87,2.26
115,1.72,5.34,8.87,2.42
120,1.45,5.24,8.87,2.5
125,1,5.09,8.87,2.55
130,0.8,5.04,8.87,2.58
135,0.46,4.96,8.87,2.67
140,0.29,4.84,8.87,2.77
145,0.04,4.76,8.87,2.83
150,0.04,4.71,8.87,2.86
155,0,4.66,8.87,2.89
160,0,4.63,8.87,2.93
165,0,4.6,8.87,2.95
170,0,4.57,8.87,2.98
175,0,4.51,8.87,3.04
180,0,4.48,8.87,3.07
185,0,4.45,8.87,3.1
190,0,4.4,8.87,3.15
195,0,4.36,8.87,3.19
200,0,4.34,8.87,3.21
205,0,4.32,8.87,3.23
210,0,4.31,8.87,3.24
215,0,4.29,8.87,3.26
220,0,4.28,8.87,3.28
225,0,4.28,8.87,3.28
230,0,4.28,8.87,3.28
235,0,4.26,8.87,3.29
240,0,4.26,8.87,3.3
245,0,4.25,8.87,3.32
250,0,4.24,8.87,3.32
