k,MMR min,MMR avg,MMR max,MMR σ
0,20,20,20,0
5,20,20,20,0
10,20,20,20,0
15,20,20,20,0
20,20,20,20,0
25,19.88,19.95,20,0.03
30,18.64,18.81,18.89,0.08
35,18.19,18.67,18.86,0.22
40,17.59,18.31,18.86,0.51
45,17,17.87,18.56,0.55
50,16.85,17.48,18.3,0.36
55,16.62,17.16,17.71,0.36
60,15.99,16.8,17.71,0.59
65,15,16.29,17.61,0.73
70,14.62,15.91,17.37,0.93
75,13.63,15.59,17.2,1.01
80,13.46,15.35,17,1.01
85,12.98,14.93,16.3,0.93
90,12.61,14.45,16.3,1.14
95,12.47,14.25,16,1.19
100,11.87,13.85,15.84,1.19
105,11,13.25,15,1.22
110,11,13.02,14.86,1.17
115,10.77,12.56,13.99,0.96
120,10.17,12.06,13.86,1.03
125,10.16,11.91,13.85,1.1
130,9.87,11.61,13.85,1.27
135,9,11.03,13.31,1.21
140,8.82,10.82,12.99,1.27
145,7.96,10.34,12.85,1.5
150,7.96,10.21,12.85,1.51
155,6.96,9.86,12.85,1.68
160,6.96,9.71,12.85,1.69
165,6.57,9.52,12.85,1.72
170,6.47,9.24,12.85,1.82
175,6.2,9.11,12.38,1.77
180,5.96,8.72,10.96,1.5
185,5.92,8.56,10.34,1.39
190,5.77,8.3,10.14,1.3
195,5.47,8.05,9.99,1.27
200,5.11,7.78,9.99,1.28
205,5.02,7.51,9.6,1.23
210,4.78,7.23,9.29,1.21
215,4.73,6.93,8.83,1.1
220,4.57,6.68,8.75,1.13
225,4.55,6.48,8.57,1.13
230,4.55,6.33,8.33,1.13
235,4.21,6.06,8.14,1.24
240,4.05,5.89,7.83,1.2
245,4,5.73,7.83,1.17
250,3.7,5.57,7.69,1.14
