k,MMR min,MMR avg,MMR max,MMR σ
0,10,10,10,0
5,10,10,10,0
10,10,10,10,0
15,10,10,10,0
20,10,10,10,0
25,10,10,10,0
30,9.98,10,10,0.01
35,8.37,8.77,9.5,0.27
40,8.13,8.45,8.81,0.19
45,7.53,8.23,8.75,0.32
50,7.14,7.76,8.75,0.52
55,6.68,7.43,8.68,0.52
60,6,7.12,8.31,0.55
65,5.66,6.66,8,0.66
70,4.31,6.2,7.67,0.84
75,3.85,5.82,7.34,0.91
80,2.85,5.56,7,0.94
85,2.79,5.14,6.51,0.88
90,2.59,4.8,6.5,0.89
95,1.85,4.33,6,0.96
100,1.65,4.06,5.75,1.01
105,1.11,3.75,5.67,1.08
110,0.59,3.43,5.62,1.16
115,0.5,3.09,5.46,1.21
120,0.31,2.85,5.46,1.28
125,0.18,2.51,5.33,1.29
130,0,2.27,5.12,1.28
135,0,1.99,5.03,1.25
140,0,1.76,4.78,1.19
145,0,1.52,4.6,1.14
150,0,1.35,4.29,1.11
155,0,1.14,3.75,1.01
160,0,0.95,3.6,0.95
165,0,0.82,3.6,0.95
170,0,0.65,2.94,0.8
175,0,0.56,2.78,0.73
180,0,0.47,2.7,0.67
185,0,0.38,2.28,0.6
190,0,0.3,1.8,0.48
195,0,0.24,1.55,0.4
200,0,0.22,1.48,0.37
205,0,0.18,1.29,0.33
210,0,0.14,1.06,0.29
215,0,0.12,1.06,0.26
220,0,0.11,0.9,0.24
225,0,0.1,0.81,0.22
230,0,0.1,0.72,0.2
235,0,0.1,0.72,0.2
240,0,0.1,0.72,0.2
245,0,0.09,0.58,0.19
250,0,0.08,0.58,0.17
