k,MMR min,MMR avg,MMR max,MMR σ
0,20,20,20,0
5,20,20,20,0
10,18.87,19.06,19.67,0.27
15,18.25,18.75,18.87,0.18
20,17.67,18.45,18.83,0.34
25,17.5,17.93,18.67,0.44
30,17,17.44,17.8,0.28
35,16.33,17.1,17.67,0.46
40,16,16.7,17.33,0.51
45,16,16.36,17,0.37
50,15,15.89,16.5,0.53
55,14.57,15.41,16,0.54
60,14.5,15.09,16,0.43
65,14,14.8,15.86,0.49
70,13.5,14.37,15,0.51
75,13.33,13.88,15,0.46
80,12,13.51,14,0.61
85,12,13.09,14,0.63
90,11.56,12.72,13.4,0.57
95,11.25,12.43,13.4,0.71
100,11,12.29,13.4,0.81
105,10.57,12.05,13.4,0.89
110,10.29,11.81,13,0.83
115,9.5,11.42,12.8,1.06
120,9,11.05,12.43,1.15
125,9,10.78,12.25,1.18
130,8.5,10.36,12,1.19
135,8.25,9.99,11.87,1.26
140,7.87,9.9,11.87,1.32
145,7,9.41,11.75,1.53
150,6.78,9.19,11.75,1.54
155,6.29,8.96,11.5,1.58
160,5.62,8.55,11,1.78
165,5.62,8.36,10.83,1.76
170,5.43,8.05,10.75,1.8
175,5,7.85,10.5,1.87
180,4.37,7.58,10.25,1.99
185,4,7.37,10.17,1.98
190,3.75,7.2,10.17,2.06
195,3.71,6.95,9.87,2
200,3.57,6.85,9.83,2
205,3.33,6.64,9.71,2.09
210,3,6.44,9.71,2.17
215,2.86,6.32,9.57,2.13
220,2.86,6.3,9.57,2.13
225,2.86,6.3,9.57,2.13
230,2.86,6.3,9.57,2.13
235,2.86,6.3,9.57,2.13
240,2.86,6.3,9.57,2.13
245,2.86,6.3,9.57,2.13
250,2.86,6.3,9.57,2.13
