k,MMR min,MMR avg,MMR max,MMR σ
0,20,20,20,0
5,20,20,20,0
10,19.99,20,20,0
15,18.75,18.85,18.89,0.04
20,18,18.63,18.87,0.33
25,17.25,18.26,18.87,0.57
30,16.89,17.96,18.8,0.62
35,16.5,17.58,18.6,0.56
40,15.78,17.07,18.2,0.76
45,15.7,16.69,17.66,0.7
50,14.89,16.38,17.65,0.81
55,14.5,15.94,17.2,0.81
60,13.87,15.55,16.8,0.9
65,13.87,15.2,16.66,0.91
70,13.62,15,16,0.81
75,12.5,14.73,15.66,0.94
80,12.42,14.31,15.66,1.06
85,12,14.07,15.6,1.1
90,11.41,13.73,15.4,1.28
95,11.4,13.24,14.87,1.18
100,11.14,12.98,14.87,1.25
105,11,12.7,14.5,1.21
110,10.4,12.33,14.12,1.18
115,10.39,12.19,14,1.21
120,10.39,12.04,14,1.21
125,9.4,11.73,13.87,1.31
130,8.91,11.3,13.87,1.31
135,8.91,10.96,13,1.2
140,8.91,10.76,12.25,1.14
145,8,10.4,12.12,1.34
150,7.87,10.25,12.12,1.4
155,7.48,9.87,11.91,1.37
160,7.39,9.71,11.78,1.35
165,7,9.43,11,1.29
170,6.96,9.2,10.83,1.25
175,6.91,8.89,10.56,1.2
180,6.87,8.66,10.41,1.12
185,6.8,8.44,10.24,1.06
190,6.39,8.12,10.11,1.11
195,6.2,7.77,9.28,1
200,6,7.43,8.86,0.92
205,5.8,7.18,8.86,0.97
210,5.44,6.9,8.86,1.06
215,5.4,6.57,8.49,1.05
220,4.83,6.33,8.29,1.1
225,4.74,6.1,8.29,1.15
230,4.25,5.84,8.16,1.09
235,3.83,5.63,8,1.21
240,2.95,5.27,7.29,1.31
245,2.37,4.99,7,1.45
250,2.25,4.61,6,1.35
