k,MMR min,MMR avg,MMR max,MMR σ
0,20,20,20,0
5,20,20,20,0
10,18.87,19.02,19.5,0.24
15,18.5,18.73,18.89,0.13
20,17.67,18.2,18.89,0.4
25,17,17.54,18.8,0.53
30,16.5,17.24,18.33,0.58
35,16.2,16.96,17.67,0.52
40,15.33,16.43,17.5,0.7
45,14.71,16.05,17,0.7
50,14,15.52,16.5,0.82
55,13.4,15.18,16.17,0.85
60,13.4,14.95,16.17,0.9
65,13,14.38,16,0.96
70,12.25,14.02,16,1.13
75,11.75,13.46,15.14,1.11
80,11,13.02,15.14,1.32
85,10.67,12.67,14.89,1.34
90,10.14,12.41,14.75,1.38
95,9.5,12.11,14.29,1.45
100,8.56,11.57,13.75,1.58
105,8.14,11.24,13.57,1.65
110,7.25,10.75,13,1.71
115,6.67,10.56,13,1.81
120,6,10.16,12.75,1.87
125,5.5,9.88,12.43,1.9
130,5.17,9.6,12.14,1.92
135,4.67,9.41,12,2
140,4.37,9.08,11.29,1.89
145,3.78,8.74,11,1.91
150,3.5,8.62,11,1.97
155,3,8.31,10.5,2.03
160,2.44,8.04,10,2.09
165,2.12,7.88,10,2.15
170,1.89,7.64,9.14,2.1
175,1.56,7.48,9.14,2.14
180,1.44,7.29,8.87,2.11
185,1.33,7.08,8.75,2.05
190,0.78,6.82,8.75,2.17
195,0.78,6.69,8.62,2.14
200,0.56,6.55,8.37,2.15
205,0.44,6.38,8.14,2.12
210,0.25,6.21,8,2.11
215,0.25,6.13,8,2.09
220,0.25,6.01,8,2.06
225,0.25,5.82,7.87,1.99
230,0.25,5.62,7.87,1.93
235,0.12,5.45,7.75,1.94
240,0,5.21,7.62,1.93
245,0,5.09,7.49,1.9
250,0,5.07,7.48,1.9
