k,MMR min,MMR avg,MMR max,MMR σ
0,20,20,20,0
5,20,20,20,0
10,20,20,20,0
15,20,20,20,0
20,20,20,20,0
25,20,20,20,0
30,19.97,19.99,20,0.01
35,18.71,18.85,18.89,0.04
40,18,18.65,18.86,0.21
45,17.6,18.23,18.82,0.44
50,16.86,17.79,18.69,0.55
55,16.46,17.39,18.58,0.5
60,15.79,17.02,18,0.62
65,15,16.65,17.76,0.81
70,14.53,16.17,17.76,0.77
75,14.33,15.78,17.57,0.8
80,13.99,15.42,17.55,0.86
85,13.52,14.94,16.64,0.78
90,12.9,14.46,16.6,0.83
95,12.73,14.15,16.29,0.93
100,12,13.66,15.68,0.97
105,11.9,13.39,15.68,1.03
110,11.76,13.02,15.37,1.03
115,10.97,12.52,14.84,1.07
120,10.66,12.23,14.84,1.11
125,9.83,11.87,14.84,1.28
130,9.5,11.52,14,1.31
135,9.23,11.21,13.91,1.37
140,8.56,10.88,13.47,1.42
145,8.37,10.59,13.21,1.51
150,7.97,10.36,13,1.54
155,7.12,10.07,13,1.57
160,7.06,9.81,12.74,1.55
165,6.62,9.55,12.67,1.58
170,6.54,9.29,12.47,1.6
175,5.93,9.06,12.34,1.63
180,5.92,8.84,12.16,1.6
185,5.92,8.63,12.12,1.7
190,5.61,8.39,12.12,1.77
195,5.55,8.1,11.84,1.76
200,5.22,7.84,11.59,1.76
205,5.13,7.58,11,1.71
210,5.13,7.37,11,1.64
215,4.78,7.08,10.54,1.61
220,4.2,6.85,10.54,1.67
225,4.1,6.65,10.17,1.68
230,3.82,6.34,10.04,1.65
235,3.76,6.12,9.91,1.61
240,3.66,5.93,9.87,1.58
245,3.51,5.71,9.87,1.53
250,3.17,5.49,9.7,1.57
