k,MMR min,MMR avg,MMR max,MMR σ
0,20,20,20,0
5,20,20,20,0
10,18.75,19.06,20,0.37
15,18.6,18.74,18.89,0.1
20,17.71,18.24,18.86,0.39
25,17,17.68,18.67,0.41
30,16.5,17.38,17.75,0.37
35,15.67,16.99,17.67,0.67
40,15.5,16.52,17.62,0.62
45,15.2,16.13,17.5,0.62
50,14.17,15.72,17.5,0.93
55,13.75,15.34,17.33,1.02
60,12.67,14.69,17,1.18
65,12.57,14.26,17,1.2
70,12.4,14.02,16.67,1.18
75,12,13.65,16.67,1.39
80,11.75,13.39,16,1.28
85,11.33,12.95,15.6,1.4
90,11.14,12.58,15.14,1.39
95,10.62,12.17,14.83,1.34
100,10,11.86,14.5,1.37
105,9.75,11.49,14.17,1.41
110,9.5,11.23,13.33,1.32
115,9,11.03,13,1.3
120,8.4,10.67,12.57,1.4
125,8,10.23,12.5,1.31
130,7.87,9.99,12.5,1.3
135,7.75,9.69,12.33,1.26
140,7.5,9.5,12.33,1.31
145,7.5,9.18,12.14,1.29
150,7,8.99,11.86,1.32
155,7,8.77,11.57,1.32
160,6.75,8.44,11,1.23
165,6.33,8.22,11,1.35
170,6,8.08,11,1.44
175,6,7.78,10,1.26
180,6,7.68,10,1.24
185,5.5,7.34,9.57,1.28
190,5.5,7.11,9,1.15
195,5,6.85,9,1.14
200,4.57,6.65,9,1.2
205,4.57,6.55,9,1.21
210,4.5,6.39,8.5,1.15
215,4.43,6.16,8.37,1.15
220,4.29,6.02,8.25,1.08
225,4.14,5.76,8.17,1.07
230,3.86,5.55,8,1.06
235,3.71,5.47,8,1.1
240,3.57,5.4,7.87,1.08
245,3.43,5.27,7.75,1.07
250,3.29,5.13,7.75,1.12
