k,MMR min,MMR avg,MMR max,MMR σ
0,20,20,20,0
5,20,20,20,0
10,18.89,19.11,20,0.42
15,18.6,18.84,19.67,0.28
20,17.71,18.29,18.89,0.42
25,17.33,17.84,18.75,0.4
30,16.57,17.47,18.6,0.54
35,16.25,16.98,18.5,0.65
40,16,16.63,17.71,0.5
45,15.67,16.33,17.67,0.56
50,15.17,15.98,17.57,0.75
55,14.75,15.66,17.5,0.9
60,14.5,15.53,17.33,0.84
65,13.5,15.05,17,1.05
70,13,14.65,16.33,1.08
75,12,14.35,16.33,1.32
80,12,13.9,15.75,1.14
85,11.43,13.47,15.75,1.2
90,10.67,13.11,15,1.2
95,10.56,12.78,14.2,1.08
100,10.29,12.51,14,1.22
105,9.87,12.08,14,1.26
110,9.57,11.48,13,1.18
115,9,11.19,13,1.24
120,9,10.93,13,1.14
125,8.83,10.72,13,1.19
130,8.83,10.41,12,1.03
135,8.75,10.03,12,0.97
140,8,9.59,11,0.96
145,8,9.28,10.75,0.9
150,7,9.04,10.67,1.07
155,7,8.81,10.5,1.06
160,5.44,8.29,10.25,1.27
165,5,8.09,10.2,1.35
170,4.5,7.85,10,1.45
175,4.5,7.53,9.75,1.42
180,4.25,7.33,9.5,1.51
185,4.12,7.05,9.5,1.52
190,3.87,6.91,9.43,1.61
195,3.5,6.69,9.29,1.69
200,3.37,6.44,9.29,1.77
205,3.25,6.34,9.25,1.81
210,3.25,6.21,9.14,1.73
215,2.89,5.95,9,1.83
220,2.89,5.83,8.86,1.77
225,2.67,5.66,8.71,1.79
230,2.14,5.29,8.37,1.87
235,2,5.08,8,1.94
240,1.33,4.86,7.86,2.09
245,1.33,4.73,7.71,2.1
250,1.22,4.62,7.57,2.12
