k,MMR min,MMR avg,MMR max,MMR σ
0,20,20,20,0
5,20,20,20,0
10,20,20,20,0
15,20,20,20,0
20,19.67,19.89,20,0.1
25,18.67,18.79,18.87,0.07
30,17.93,18.41,18.83,0.27
35,17.5,17.84,18.75,0.44
40,16.88,17.41,18.19,0.42
45,15.91,17.01,17.71,0.56
50,15.69,16.69,17.49,0.53
55,15.57,16.39,17.19,0.45
60,15.21,15.91,16.99,0.55
65,14.76,15.53,16.83,0.63
70,14.5,15.12,16.81,0.63
75,13.8,14.73,16.81,0.8
80,13.4,14.31,16.3,0.79
85,12.5,13.9,15.49,0.79
90,12,13.42,14.82,0.79
95,11.2,12.96,14.32,0.91
100,11,12.49,13.81,0.84
105,10.83,12.07,13.16,0.89
110,10,11.66,13,1.03
115,9.6,11.37,12.98,1.19
120,9,11.02,12.91,1.3
125,8.5,10.69,12.36,1.37
130,8.2,10.25,12,1.33
135,7.39,10,12,1.55
140,6.79,9.62,11.91,1.75
145,6.4,9.37,11.32,1.77
150,6.2,9.2,11.32,1.74
155,6,8.94,11.32,1.72
160,5.91,8.67,10.91,1.71
165,5.5,8.44,10.65,1.7
170,5.2,8.18,10.48,1.75
175,5,8.06,10.32,1.76
180,4.72,7.85,10.32,1.86
185,4.67,7.62,10.14,1.85
190,4,7.3,9.96,1.91
195,3.69,7.12,9.82,1.95
200,3.5,6.79,9.69,1.92
205,3.5,6.58,9.67,1.95
210,3.12,6.29,9.67,2.03
215,2.89,6.1,9.41,2.06
220,2.87,5.94,9.24,2.07
225,2.67,5.64,9.13,2.13
230,2.37,5.54,9.13,2.19
235,2.24,5.4,9.13,2.26
240,2,5.25,8.85,2.21
245,1.97,5.03,8.55,2.12
250,1.49,4.77,8.41,2.11
