k,MMR min,MMR avg,MMR max,MMR σ
0,20,20,20,0
5,20,20,20,0
10,20,20,20,0
15,20,20,20,0
20,18.75,18.87,18.89,0.04
25,18.39,18.7,18.89,0.14
30,17.66,18.45,18.83,0.32
35,17,17.95,18.83,0.53
40,16.48,17.5,18,0.39
45,16.2,17.21,18,0.49
50,15.86,16.87,17.48,0.46
55,14.89,16.22,17,0.53
60,14.51,15.88,16.47,0.54
65,13.98,15.46,16.44,0.69
70,13.31,14.86,15.5,0.66
75,12.48,14.4,15.32,0.8
80,12,14.19,15.31,0.93
85,11.48,13.74,15,0.95
90,10.75,13.48,14.5,1.01
95,10.75,12.95,14.49,0.99
100,10.5,12.64,14,0.97
105,10.29,12.25,13.82,1.04
110,9.5,11.95,13.33,1.1
115,9.25,11.61,13,1.11
120,9,11.13,12.87,1.07
125,8.71,11,12.5,1.08
130,8.64,10.65,12.46,1.16
135,8.43,10.41,12.37,1.17
140,8.16,10.19,12.25,1.24
145,8.11,10.06,12.25,1.22
150,8,9.87,12,1.19
155,7.82,9.57,12,1.21
160,7.82,9.37,11.87,1.17
165,7.65,9.26,11.75,1.21
170,7.47,9.09,11.75,1.27
175,7.31,8.82,11.62,1.3
180,7.11,8.69,11.5,1.3
185,6.79,8.49,11.37,1.39
190,6.69,8.24,11.25,1.4
195,6.57,8.14,11.12,1.37
200,6.43,7.95,11,1.39
205,6.23,7.81,10.87,1.4
210,6,7.58,10.24,1.3
215,5.78,7.35,9.49,1.24
220,5.62,7.13,8.93,1.12
225,5.37,7.02,8.82,1.1
230,5.37,6.73,8.53,1.09
235,5.23,6.51,8.31,1.09
240,4.83,6.21,7.85,1.1
245,4.37,5.92,7.75,1.15
250,3.83,5.73,7.5,1.21
