k,MMR min,MMR avg,MMR max,MMR σ (est.),Loss min,Loss avg,Loss max,Loss σ (est.)
100,18.7,19.12,19.4,0.26,0,2.88,6.22,2.24
101,18.67,19.11,19.4,0.26,0,2.88,6.22,2.24
102,18.67,19.06,19.4,0.27,0,2.88,6.22,2.24
103,18.67,19.06,19.38,0.26,0,2.88,6.22,2.24
104,18.66,19.06,19.38,0.26,0,2.88,6.22,2.24
105,18.66,19.02,19.38,0.25,0,2.88,6.22,2.24
106,18.59,18.98,19.38,0.29,0,2.64,6.22,2.11
107,18.59,18.98,19.38,0.29,0,2.64,6.22,2.11
108,18.59,18.98,19.38,0.29,0,2.64,6.22,2.11
109,18.55,18.96,19.38,0.3,0.22,2.7,6.22,2.04
110,18.54,18.95,19.38,0.31,0.22,2.7,6.22,2.04
111,18.49,18.94,19.38,0.33,0.22,2.7,6.22,2.04
112,18.48,18.9,19.38,0.34,0,2.18,6.22,1.99
113,18.48,18.87,19.38,0.32,0,2.12,6.22,2.05
114,18.43,18.86,19.38,0.32,0,2.12,6.22,2.05
115,18.43,18.85,19.35,0.32,0,1.85,4.26,1.57
116,18.1,18.77,19.34,0.44,0,1.85,4.26,1.57
117,18.1,18.76,19.34,0.43,0,1.85,4.26,1.57
118,18.1,18.73,19.34,0.42,0,2.09,4.99,1.85
119,18.1,18.72,19.34,0.42,0,1.85,4.26,1.57
120,17.97,18.64,19.34,0.45,0,2.09,6.22,2.36
121,17.97,18.63,19.34,0.45,0,2.09,6.22,2.36
122,17.97,18.63,19.34,0.45,0,2.09,6.22,2.36
123,17.97,18.62,19.34,0.45,0,2.09,6.22,2.36
124,17.97,18.61,19.34,0.46,0,2.09,6.22,2.36
125,17.97,18.59,19.25,0.43,0,2.15,6.22,2.39
126,17.97,18.59,19.25,0.43,0,2.15,6.22,2.39
127,17.84,18.54,19.25,0.44,0,2.32,6.22,2.28
128,17.84,18.49,19.17,0.38,0,2.01,6.22,2.2
129,17.84,18.48,19.17,0.38,0,1.65,6.22,2.2
130,17.84,18.48,19.17,0.38,0,1.65,6.22,2.2
131,17.84,18.47,19.17,0.39,0,1.65,6.22,2.2
132,17.84,18.43,19.12,0.39,0,1.91,6.22,2.14
133,17.84,18.43,19.12,0.39,0,1.91,6.22,2.14
134,17.84,18.43,19.12,0.39,0,1.91,6.22,2.14
135,17.82,18.41,19.12,0.4,0,1.65,6.22,2.2
136,17.82,18.41,19.12,0.4,0,1.65,6.22,2.2
137,17.82,18.37,19.12,0.41,0,1.48,6.22,2.26
138,17.82,18.36,19.12,0.4,0,1.48,6.22,2.26
139,17.7,18.28,19.12,0.47,0,1.46,6.22,2.28
140,17.7,18.27,19.11,0.47,0,1.46,6.22,2.28
141,17.7,18.21,19.11,0.42,0,1.46,6.22,2.28
142,17.7,18.2,19.11,0.43,0,1.46,6.22,2.28
143,17.7,18.19,19.11,0.43,0,1.63,6.22,2.22
144,17.7,18.19,19.11,0.43,0,1.63,6.22,2.22
145,17.42,18.09,19.11,0.51,0,1.47,4.99,1.88
146,17.42,18.09,19.11,0.51,0,1.47,4.99,1.88
147,17.42,18.09,19.11,0.5,0,1.47,4.99,1.88
148,17.42,18.09,19.11,0.5,0,1.47,4.99,1.88
149,17.42,18.07,18.94,0.47,0,1.47,4.99,1.88
150,17.42,18.06,18.94,0.47,0,1.3,4.99,1.93
151,17.42,18.02,18.93,0.48,0,1.3,4.99,1.93
152,17.42,18.02,18.93,0.49,0,1.3,4.99,1.93
153,17.42,18,18.93,0.49,0,1.3,4.99,1.93
154,17.13,17.94,18.92,0.56,0,1.53,4.99,1.98
155,17.13,17.93,18.88,0.55,0,1.53,4.99,1.98
156,17.13,17.91,18.88,0.55,0,1.53,4.99,1.98
157,17.13,17.9,18.88,0.54,0,1.53,4.99,1.98
158,17.13,17.87,18.88,0.55,0,1.53,4.99,1.98
159,17.13,17.87,18.88,0.55,0,1.53,4.99,1.98
160,17.13,17.86,18.88,0.55,0,1.53,4.99,1.98
161,17.13,17.84,18.69,0.52,0,1.73,4.99,1.91
162,17.13,17.81,18.69,0.54,0,1.27,4.99,1.68
163,17.13,17.81,18.69,0.54,0,1.27,4.99,1.68
164,17.13,17.75,18.51,0.52,0,1.23,4.99,1.67
165,17.13,17.73,18.5,0.54,0,0.97,2.94,1.12
166,17.09,17.68,18.5,0.54,0,0.97,2.94,1.12
