k,MMR min,MMR avg,MMR max,MMR σ
0,6,6,6,0
1,6,6,6,0
2,6,6,6,0
3,6,6,6,0
4,6,6,6,0
5,4.8,5.13,6,0.48
6,4.5,4.8,6,0.2
7,4,4.68,4.8,0.17
8,4,4.56,4.8,0.25
9,4,4.38,4.8,0.32
10,3.5,4.17,4.8,0.45
11,3,3.96,4.8,0.54
12,3,3.76,4.8,0.63
13,2.6,3.6,4.8,0.66
14,2.4,3.39,4.8,0.7
15,2.25,3.21,4.75,0.75
16,1.8,3,4.75,0.81
17,1.77,2.98,4.75,0.81
18,1.76,2.98,4.75,0.81
19,1.76,2.97,4.72,0.81
20,1.76,2.96,4.71,0.81
21,1.76,2.96,4.71,0.81
22,1.76,2.96,4.71,0.81
23,1.76,2.96,4.71,0.81
24,1.76,2.96,4.71,0.81
25,1.76,2.96,4.71,0.81
26,1.76,2.96,4.71,0.81
27,1.76,2.96,4.71,0.81
28,1.76,2.96,4.71,0.81
29,1.76,2.96,4.71,0.81
30,1.76,2.96,4.71,0.81
