k,MMR min,MMR avg,MMR max,MMR σ
0,6,6,6,0
1,6,6,6,0
2,6,6,6,0
3,6,6,6,0
4,6,6,6,0
5,6,6,6,0
6,6,6,6,0
7,6,6,6,0
8,6,6,6,0
9,6,6,6,0
10,6,6,6,0
11,4.37,4.82,6,0.51
12,4.23,4.56,6,0.28
13,4.14,4.43,5,0.18
14,4,4.32,4.77,0.2
15,4,4.21,4.77,0.22
16,2.75,3.79,4.77,0.63
17,2.61,3.59,4.77,0.69
18,2.49,3.39,4.77,0.72
19,2.28,3.26,4.77,0.75
20,2.04,3.08,4.77,0.79
21,1.21,2.76,4.77,1
22,1.07,2.57,4.75,1.01
23,0.94,2.35,4.75,1.05
24,0.69,2.15,4.31,1.01
25,0.44,1.96,4.31,1.02
26,0,1.76,4.31,1.06
27,0,1.62,4.17,1.06
28,0,1.38,4,1.07
29,0,1.12,4,1.11
30,0,0.89,4,1.13
