k,MMR min,MMR avg,MMR max,MMR σ
0,6,6,6,0
1,6,6,6,0
2,6,6,6,0
3,6,6,6,0
4,6,6,6,0
5,6,6,6,0
6,6,6,6,0
7,4.46,5.01,6,0.48
8,4.26,4.66,5,0.16
9,4.18,4.58,4.8,0.16
10,4,4.45,4.8,0.25
11,4,4.33,4.8,0.28
12,2.97,4.13,4.8,0.48
13,2.91,3.92,4.8,0.58
14,2.63,3.77,4.8,0.68
15,2.34,3.65,4.8,0.73
16,2.04,3.41,4.8,0.75
17,1.45,3.22,4.8,0.83
18,1.37,3.03,4.8,0.88
19,1.26,2.86,4.8,0.95
20,1.12,2.67,4.75,0.99
21,0.82,2.49,4.67,1.05
22,0.53,2.35,4.33,1.04
23,0,2.12,4.33,1.09
24,0,1.95,4.33,1.08
25,0,1.75,4.15,1.06
26,0,1.57,4,1.09
27,0,1.39,3.41,1.01
28,0,1.22,3.35,0.99
29,0,1.07,3.18,0.93
30,0,0.95,3,0.88
