k,MMR min,MMR avg,MMR max,MMR σ
0,6,6,6,0
1,6,6,6,0
2,6,6,6,0
3,6,6,6,0
4,6,6,6,0
5,4.8,5.1,6,0.44
6,4.5,4.82,6,0.2
7,4.33,4.71,4.8,0.13
8,4,4.52,4.8,0.28
9,4,4.35,4.8,0.31
10,3.5,4.11,4.8,0.41
11,3,3.83,4.8,0.46
12,3,3.62,4.8,0.53
13,2.8,3.43,4.75,0.53
14,2.6,3.26,4.67,0.55
15,2.53,3.25,4.67,0.56
16,2.52,3.25,4.67,0.56
17,2.52,3.24,4.67,0.56
18,2.52,3.24,4.67,0.55
19,2.52,3.24,4.67,0.55
20,2.52,3.24,4.67,0.55
21,2.52,3.24,4.67,0.55
22,2.52,3.24,4.67,0.55
23,2.52,3.24,4.67,0.55
24,2.52,3.24,4.67,0.55
25,2.52,3.24,4.67,0.55
26,2.52,3.24,4.67,0.55
27,2.52,3.24,4.67,0.55
28,2.52,3.24,4.67,0.55
29,2.52,3.24,4.67,0.55
30,2.52,3.24,4.67,0.55
