k,MMR min,MMR avg,MMR max,MMR σ
0,6,6,6,0
1,6,6,6,0
2,6,6,6,0
3,6,6,6,0
4,6,6,6,0
5,4.8,5.27,6,0.52
6,4.75,4.87,6,0.25
7,4.33,4.72,5.5,0.21
8,4,4.52,5,0.29
9,4,4.34,4.8,0.33
10,3.5,4.12,4.8,0.44
11,3.33,3.93,4.8,0.51
12,3,3.71,4.75,0.59
13,2.8,3.51,4.67,0.57
14,2.4,3.29,4.67,0.58
15,2.25,3.11,4.67,0.59
16,2,2.94,4.5,0.6
17,1.8,2.8,4.5,0.64
18,1.6,2.63,4.25,0.68
19,1.25,2.42,4.25,0.72
20,1.25,2.23,4,0.73
21,1.25,2.21,4,0.75
22,1.25,2.2,4,0.75
23,1.18,2.2,4,0.76
24,1.15,2.19,4,0.76
25,1.15,2.19,4,0.76
26,1.15,2.19,4,0.76
27,1.15,2.19,4,0.76
28,1.15,2.19,4,0.76
29,1.15,2.19,4,0.76
30,1.15,2.19,4,0.76
