k,MMR min,MMR avg,MMR max,MMR σ
0,6,6,6,0
1,6,6,6,0
2,6,6,6,0
3,6,6,6,0
4,6,6,6,0
5,4.8,5.02,6,0.37
6,4.5,4.82,6,0.25
7,4.33,4.69,6,0.24
8,4,4.54,4.8,0.26
9,4,4.35,4.8,0.35
10,3.5,4.1,4.8,0.44
11,3,3.91,4.8,0.5
12,3,3.78,4.8,0.57
13,3,3.78,4.77,0.57
14,3,3.78,4.76,0.57
15,3,3.77,4.76,0.56
16,3,3.76,4.76,0.56
17,3,3.76,4.76,0.56
18,3,3.76,4.76,0.56
19,3,3.76,4.76,0.56
20,3,3.76,4.76,0.56
21,3,3.76,4.76,0.56
22,3,3.76,4.76,0.56
23,3,3.76,4.76,0.56
24,3,3.76,4.76,0.56
25,3,3.76,4.76,0.56
26,3,3.76,4.76,0.56
27,3,3.76,4.76,0.56
28,3,3.76,4.76,0.56
29,3,3.76,4.76,0.56
30,3,3.76,4.76,0.56
