k,MMR min,MMR avg,MMR max,MMR σ
0,6,6,6,0
1,6,6,6,0
2,6,6,6,0
3,6,6,6,0
4,6,6,6,0
5,4.8,5.19,6,0.51
6,4.5,4.84,6,0.22
7,4.33,4.69,5,0.15
8,4,4.51,4.8,0.3
9,4,4.36,4.8,0.34
10,3.5,4.2,4.8,0.45
11,3,4.02,4.8,0.58
12,3,3.78,4.8,0.65
13,2.8,3.61,4.75,0.7
14,2.4,3.45,4.75,0.74
15,2.25,3.3,4.75,0.77
16,2,3.13,4.75,0.78
17,1.8,2.9,4.75,0.82
18,1.4,2.67,4.75,0.85
19,1.2,2.46,4.75,0.88
20,1,2.28,4.5,0.87
21,0.8,2.14,4.5,0.87
22,0.8,1.98,4.5,0.83
23,0.77,1.97,4.5,0.84
24,0.76,1.96,4.5,0.84
25,0.76,1.96,4.43,0.84
26,0.76,1.93,4.43,0.83
27,0.76,1.93,4.43,0.83
28,0.76,1.93,4.43,0.83
29,0.76,1.93,4.43,0.83
30,0.76,1.93,4.43,0.83
