k,MMR min,MMR avg,MMR max,MMR σ
0,6,6,6,0
1,6,6,6,0
2,6,6,6,0
3,6,6,6,0
4,6,6,6,0
5,4.8,5.2,6,0.51
6,4.5,4.9,6,0.34
7,4.33,4.77,6,0.28
8,4,4.58,4.8,0.26
9,4,4.43,4.8,0.33
10,3.5,4.26,4.8,0.41
11,3.33,4.09,4.8,0.51
12,3,3.91,4.75,0.62
13,3,3.7,4.75,0.62
14,2.4,3.55,4.75,0.68
15,2.25,3.4,4.75,0.75
16,2,3.22,4.75,0.77
17,1.8,3.02,4.75,0.86
18,1.4,2.74,4.75,0.89
19,1.3,2.72,4.75,0.9
20,1.29,2.72,4.75,0.9
21,1.18,2.7,4.72,0.89
22,1.18,2.7,4.71,0.89
23,1.18,2.7,4.71,0.89
24,1.18,2.7,4.71,0.89
25,1.18,2.7,4.71,0.89
26,1.18,2.7,4.71,0.89
27,1.18,2.7,4.71,0.89
28,1.18,2.7,4.71,0.89
29,1.18,2.7,4.71,0.89
30,1.18,2.7,4.71,0.89
