k,MMR min,MMR avg,MMR max,MMR σ
0,6,6,6,0
1,6,6,6,0
2,6,6,6,0
3,6,6,6,0
4,6,6,6,0
5,4.8,5.06,6,0.41
6,4.5,4.85,6,0.29
7,4.5,4.83,6,0.29
8,4.5,4.83,6,0.29
9,4.48,4.82,6,0.3
10,4.48,4.82,6,0.3
11,4.48,4.82,6,0.3
12,4.48,4.82,6,0.3
13,4.48,4.82,6,0.3
14,4.48,4.82,6,0.3
15,4.48,4.82,6,0.3
16,4.48,4.82,6,0.3
17,4.48,4.82,6,0.3
18,4.48,4.82,6,0.3
19,4.48,4.82,6,0.3
20,4.48,4.82,6,0.3
21,4.48,4.82,6,0.3
22,4.48,4.82,6,0.3
23,4.48,4.82,6,0.3
24,4.48,4.82,6,0.3
25,4.48,4.82,6,0.3
26,4.48,4.82,6,0.3
27,4.48,4.82,6,0.3
28,4.48,4.82,6,0.3
29,4.48,4.82,6,0.3
30,4.48,4.82,6,0.3
