k,MMR min,MMR avg,MMR max,MMR σ
0,6,6,6,0
1,6,6,6,0
2,6,6,6,0
3,6,6,6,0
4,6,6,6,0
5,4.8,5.12,6,0.47
6,4.5,4.81,6,0.19
7,4,4.69,4.8,0.17
8,4,4.5,4.8,0.31
9,4,4.35,4.8,0.35
10,3.5,4.13,4.8,0.48
11,3,3.91,4.8,0.55
12,3,3.68,4.75,0.58
13,2.6,3.5,4.75,0.6
14,2.4,3.33,4.75,0.64
15,2.25,3.14,4.67,0.68
16,1.8,3.01,4.67,0.73
17,1.4,2.79,4.67,0.78
18,1.4,2.59,4.67,0.82
19,1.2,2.3,4.33,0.8
20,1,2.15,4.33,0.81
21,0.8,2.01,4,0.8
22,0.8,1.93,4,0.76
23,0.75,1.72,3.25,0.73
24,0.75,1.59,3.25,0.69
25,0.6,1.43,3.25,0.69
26,0.5,1.31,3.25,0.69
27,0.5,1.2,3,0.67
28,0.5,1.13,3,0.66
29,0.5,1.11,3,0.67
30,0.5,1.11,3,0.67
