k,MMR min,MMR avg,MMR max,MMR σ
0,6,6,6,0
1,6,6,6,0
2,6,6,6,0
3,6,6,6,0
4,6,6,6,0
5,4.8,5.15,6,0.48
6,4.5,4.83,6,0.23
7,4.33,4.72,5.5,0.17
8,4,4.57,5,0.26
9,4,4.43,4.8,0.32
10,3.5,4.24,4.8,0.41
11,3.5,4.23,4.77,0.41
12,3.5,4.23,4.76,0.41
13,3.48,4.22,4.76,0.4
14,3.48,4.22,4.76,0.4
15,3.48,4.22,4.76,0.4
16,3.48,4.22,4.76,0.4
17,3.48,4.22,4.76,0.4
18,3.48,4.22,4.76,0.4
19,3.48,4.22,4.76,0.4
20,3.48,4.22,4.76,0.4
21,3.48,4.22,4.76,0.4
22,3.48,4.22,4.76,0.4
23,3.48,4.22,4.76,0.4
24,3.48,4.22,4.76,0.4
25,3.48,4.22,4.76,0.4
26,3.48,4.22,4.76,0.4
27,3.48,4.22,4.76,0.4
28,3.48,4.22,4.76,0.4
29,3.48,4.22,4.76,0.4
30,3.48,4.22,4.76,0.4
