k,MMR min,MMR avg,MMR max,MMR σ
0,6,6,6,0
1,6,6,6,0
2,6,6,6,0
3,6,6,6,0
4,6,6,6,0
5,4.8,5.17,6,0.5
6,4.5,4.82,6,0.22
7,4.33,4.71,5,0.15
8,4,4.54,4.8,0.31
9,4,4.42,4.8,0.34
10,3.5,4.28,4.8,0.46
11,3,4.09,4.8,0.53
12,3,3.9,4.8,0.6
13,2.8,3.75,4.8,0.64
14,2.4,3.61,4.8,0.73
15,2.25,3.45,4.8,0.74
16,2,3.22,4.8,0.81
17,1.6,3.02,4.8,0.9
18,1.4,2.85,4.75,0.9
19,1,2.68,4.75,0.94
20,1,2.55,4.75,0.94
21,1,2.4,4.75,0.94
22,1,2.24,4.75,0.95
23,0.8,2.06,4.5,0.92
24,0.8,1.87,4.5,0.9
25,0.77,1.86,4.5,0.91
26,0.76,1.85,4.5,0.91
27,0.76,1.85,4.43,0.9
28,0.76,1.85,4.43,0.9
29,0.76,1.85,4.43,0.9
30,0.76,1.85,4.43,0.9
