k,MMR min,MMR avg,MMR max,MMR σ (est.),Loss min,Loss avg,Loss max,Loss σ (est.)
104,0,2.28,4.32,1.05,0,0.14,1.81,0.32
105,0,2.28,4.32,1.05,0,0.14,1.81,0.32
106,0,2.28,4.32,1.05,0,0.14,1.81,0.32
107,0,2.28,4.32,1.05,0,0.14,1.81,0.32
108,0,2.28,4.32,1.05,0,0.14,1.81,0.32
109,0,2.28,4.32,1.05,0,0.14,1.81,0.32
110,0,2.28,4.32,1.05,0,0.14,1.81,0.32
111,0,2.28,4.32,1.05,0,0.14,1.81,0.32
112,0,2.28,4.32,1.05,0,0.14,1.81,0.32
113,0,2.28,4.32,1.05,0,0.14,1.81,0.32
114,0,2.28,4.32,1.05,0,0.14,1.81,0.32
115,0,2.28,4.32,1.05,0,0.14,1.81,0.32
116,0,2.28,4.32,1.05,0,0.14,1.81,0.32
117,0,2.28,4.32,1.05,0,0.14,1.81,0.32
118,0,2.28,4.32,1.05,0,0.14,1.81,0.32
119,0,2.28,4.32,1.05,0,0.14,1.81,0.32
120,0,2.28,4.32,1.05,0,0.14,1.81,0.32
121,0,2.28,4.32,1.05,0,0.14,1.81,0.32
122,0,2.28,4.32,1.05,0,0.14,1.81,0.32
123,0,2.28,4.32,1.05,0,0.14,1.81,0.32
124,0,2.28,4.32,1.05,0,0.14,1.81,0.32
125,0,2.28,4.32,1.05,0,0.14,1.81,0.32
126,0,2.28,4.32,1.05,0,0.14,1.81,0.32
127,0,2.28,4.32,1.05,0,0.14,1.81,0.32
128,0,2.28,4.32,1.05,0,0.14,1.81,0.32
129,0,2.28,4.32,1.05,0,0.14,1.81,0.32
130,0,2.28,4.32,1.05,0,0.14,1.81,0.32
131,0,2.28,4.32,1.05,0,0.14,1.81,0.32
132,0,2.28,4.32,1.05,0,0.14,1.81,0.32
133,0,2.28,4.32,1.05,0,0.14,1.81,0.32
134,0,2.28,4.32,1.05,0,0.14,1.81,0.32
135,0,2.28,4.32,1.05,0,0.14,1.81,0.32
136,0,2.28,4.32,1.05,0,0.14,1.81,0.32
137,0,2.28,4.32,1.05,0,0.14,1.81,0.32
138,0,2.28,4.32,1.05,0,0.14,1.81,0.32
139,0,2.28,4.32,1.05,0,0.14,1.81,0.32
140,0,2.28,4.32,1.05,0,0.14,1.81,0.32
141,0,2.28,4.32,1.05,0,0.14,1.81,0.32
142,0,2.28,4.32,1.05,0,0.14,1.81,0.32
143,0,2.28,4.32,1.05,0,0.14,1.81,0.32
144,0,2.28,4.32,1.05,0,0.14,1.81,0.32
145,0,2.28,4.32,1.05,0,0.14,1.81,0.32
146,0,2.28,4.32,1.05,0,0.14,1.81,0.32
147,0,2.28,4.32,1.05,0,0.14,1.81,0.32
148,0,2.28,4.32,1.05,0,0.14,1.81,0.32
149,0,2.28,4.32,1.05,0,0.14,1.81,0.32
150,0,2.28,4.32,1.05,0,0.14,1.81,0.32
