k,MMR min,MMR avg,MMR max,MMR σ (est.),Loss min,Loss avg,Loss max,Loss σ (est.)
110,0,0,0.06,0,0,0,0,0
111,0,0,0.06,0,0,0,0,0
112,0,0,0.03,0,0,0,0.01,0
113,0,0,0.03,0,0,0,0.01,0
114,0,0,0.03,0,0,0,0.01,0
115,0,0,0.03,0,0,0,0.01,0
116,0,0,0.03,0,0,0,0.01,0
117,0,0,0.03,0,0,0,0.01,0
118,0,0,0.01,0,0,0,0,0
119,0,0,0.01,0,0,0,0,0
120,0,0,0.01,0,0,0,0,0
121,0,0,0.01,0,0,0,0,0
122,0,0,0.01,0,0,0,0,0
123,0,0,0.01,0,0,0,0.01,0
124,0,0,0.01,0,0,0,0.01,0
125,0,0,0,0,0,0,0,0
126,0,0,0,0,0,0,0,0
127,0,0,0,0,0,0,0,0
128,0,0,0,0,0,0,0,0
129,0,0,0,0,0,0,0,0
130,0,0,0,0,0,0,0,0
131,0,0,0,0,0,0,0,0
132,0,0,0,0,0,0,0,0
133,0,0,0,0,0,0,0,0
134,0,0,0,0,0,0,0,0
135,0,0,0,0,0,0,0,0
136,0,0,0,0,0,0,0,0
137,0,0,0,0,0,0,0,0
138,0,0,0,0,0,0,0,0
139,0,0,0,0,0,0,0,0
140,0,0,0,0,0,0,0,0
141,0,0,0,0,0,0,0,0
142,0,0,0,0,0,0,0,0
143,0,0,0,0,0,0,0,0
144,0,0,0,0,0,0,0,0
145,0,0,0,0,0,0,0,0
146,0,0,0,0,0,0,0,0
147,0,0,0,0,0,0,0,0
148,0,0,0,0,0,0,0,0
149,0,0,0,0,0,0,0,0
150,0,0,0,0,0,0,0,0
