k,MMR min,MMR avg,MMR max,MMR σ (est.),Loss min,Loss avg,Loss max,Loss σ (est.)
0,12,12,12,0,0.7,1.77,3.39,0.63
1,12,12,12,0,0.7,1.77,3.39,0.63
2,12,12,12,0,0,1.8,4.37,0.9
3,12,12,12,0,0,1.65,5.85,1.24
4,12,12,12,0,0,1.46,3.64,1.05
5,12,12,12,0,0,1.32,3.52,1.05
6,12,12,12,0,0,1.21,3.52,1.06
7,10.86,11.2,12,0.44,0,1.16,3.52,1.03
8,10.67,10.92,12,0.23,0,1.06,3.52,1.03
9,10.6,10.83,12,0.18,0,1.07,3.52,1.05
10,10.5,10.78,11,0.11,0,1.07,3.52,1.05
11,10.25,10.72,10.86,0.15,0,1.07,3.52,1.05
12,10,10.61,10.86,0.25,0,1.07,3.52,1.05
13,10,10.5,10.86,0.32,0,1.07,3.52,1.05
14,9.67,10.4,10.86,0.36,0,1.07,3.52,1.05
15,9.6,10.31,10.86,0.4,0,1.07,3.52,1.05
16,9.5,10.18,10.83,0.43,0,1.07,3.52,1.05
17,9.33,10.08,10.8,0.46,0,1,3.52,1.01
18,9,9.88,10.75,0.48,0,0.97,3.52,1.01
19,8.86,9.76,10.75,0.5,0,0.97,3.52,1.01
20,8.71,9.63,10.75,0.52,0,1,3.52,1.01
21,8.5,9.52,10.75,0.54,0,1,3.52,1.01
22,8.4,9.41,10.75,0.54,0,1,3.52,1.01
23,8.4,9.34,10.75,0.53,0,1,3.52,1.01
24,8.25,9.28,10.75,0.53,0,1,3.52,1.01
25,8,9.17,10.75,0.53,0,1,3.52,1.01
26,8,9.06,10.75,0.58,0,1,3.52,1.01
27,7.83,8.95,10.75,0.61,0,1,3.52,1.01
28,7.67,8.89,10.75,0.63,0,1,3.52,1.01
29,7.67,8.82,10.75,0.65,0,1,3.52,1.01
30,7.5,8.72,10.75,0.66,0,1.01,3.52,1.01
31,7.33,8.65,10.75,0.69,0,1.01,3.52,1.01
32,7.2,8.54,10.5,0.67,0,1.01,3.52,1.01
33,7,8.46,10.33,0.66,0,1.01,3.52,1.01
34,6.83,8.36,10.33,0.68,0,1.04,3.52,1.01
35,6.67,8.27,10,0.65,0,1,3.52,0.97
36,6.6,8.22,9.83,0.65,0,1.04,3.52,1.01
37,6.6,8.11,9.8,0.64,0,1.04,3.52,1.01
38,6.5,7.98,9.8,0.66,0,1.03,3.52,1.01
39,6,7.87,9.6,0.73,0,1.03,3.52,1.01
40,6,7.76,9.33,0.76,0,1.04,3.52,1.01
41,6,7.71,9.33,0.78,0,1.04,3.52,1.01
42,6,7.63,9.33,0.78,0,0.98,3.28,0.95
43,5.75,7.55,9.2,0.81,0,0.97,3.28,0.95
44,5.67,7.45,9,0.81,0,0.94,3.22,0.89
45,5.33,7.36,9,0.82,0,0.93,3.22,0.89
46,5.17,7.26,9,0.85,0,0.93,3.22,0.89
47,5.17,7.14,9,0.87,0,0.93,3.22,0.89
48,5,7.03,9,0.89,0,0.94,3.22,0.89
49,4.86,6.98,9,0.89,0,0.94,3.22,0.89
50,4.83,6.89,9,0.87,0,0.94,3.22,0.89
51,4.83,6.84,8.5,0.85,0,0.93,3.22,0.89
52,4.83,6.79,8.33,0.84,0,0.94,3.22,0.89
53,4.83,6.7,8,0.85,0,0.94,3.22,0.89
54,4.83,6.6,8,0.85,0,0.94,3.22,0.89
55,4.83,6.53,8,0.84,0,0.94,3.22,0.89
56,4.83,6.46,8,0.82,0,0.94,3.22,0.89
57,4.71,6.39,8,0.86,0,0.94,3.22,0.89
58,4.5,6.31,8,0.89,0,0.94,3.22,0.89
59,4.2,6.23,8,0.92,0,0.94,3.22,0.89
60,4,6.16,8,0.95,0,0.9,3.22,0.88
61,4,6.11,8,0.96,0,0.9,3.22,0.88
62,3.8,6.03,8,0.99,0,0.9,3.22,0.87
63,3.57,5.87,7.6,0.99,0,0.85,3.22,0.85
64,3.5,5.77,7.5,0.99,0,0.82,3.22,0.8
65,3.4,5.71,7.4,0.98,0,0.84,3.22,0.84
66,3.33,5.63,7.33,0.99,0,0.85,3.22,0.85
67,3,5.56,7.17,1.02,0,0.82,3.22,0.8
68,3,5.45,7.17,0.99,0,0.85,3.22,0.85
